char,hanviet,pinyin
鳳,['phượng'],feng4
鴆,['trậm'],zhen4
鴞,['hiêu'],xiao1
鵻,['chuy'],zhui1
鷓,['giá'],zhe4
鷟,['trạc'],zhuo2
鷥,['tư'],si1
鷲,['thứu'],jiu4
鸝,['ly'],li2
鹸,['kiềm'],jian3
鹻,['kiềm'],jian3
鹼,['kiềm'],jian3
麂,['kỷ'],ji3
麋,['my'],mi2
麒,['kỳ'],qi2
麚,['gia'],jia1
麛,['mê'],mi2
黃,['hoàng'],huang2
黈,['thẩu'],tou3
黴,['mốc'],mei2
黿,['ngoan'],yuan2
鼄,['chu'],zhu1
鼈,['ba'],bie1
鼒,['tư'],zi1
鼙,['bề'],pi2
鼚,['xương'],chang1
鼛,['cao'],gao1
鼢,['phẫn'],fen2
鼻,['tỵ'],bi2
鼾,['han'],han1
齣,['xuất'],chu1
齧,['nhai'],nie4
齪,['xúc'],chuo4
齰,['trách'],ze2
齲,['sâu'],qu3
龐,['bàng'],pang2
龝,['thu'],qiu1
龠,['dược'],yue4
㒸,['toại'],suì
㥯,['ẩn'],yǐn
㨪,['hoảng'],huàng
一,['nhất'],yī
丂,['khảo'],kǎo
七,['thất'],qī
丄,['thượng'],shàng
丅,['hạ'],xià
丈,['trượng'],zhàng
丐,['cái'],gài
丕,['phi'],pī
世,['thế'],shì
丙,['bính'],bǐng
丟,['đâu'],diū
丣,['dậu'],yǒu
丨,['cổn'],gǔn
丩,['cưu'],jiū
丮,['kịch'],jǐ
丰,['phong'],fēng
丱,['quán'],guàn
丳,['sạn'],chǎn
丵,['trác'],zhuó
丶,['chủ'],zhǔ
丸,['hoàn'],wán
乂,['nghệ'],yì
久,['cửu'],jiǔ
乆,['cửu'],jiǔ
之,['chi'],zhī
乏,['phạp'],fá
乒,['binh'],pīng
乕,['hổ'],hǔ
乖,['quai'],guāi
乙,['ất'],yǐ
乢,['cái'],gài
乩,['kê'],jī
乳,['nhũ'],rǔ
乴,['tích'],xué
亀,['quy'],guī
亁,['can'],gān
亂,['loạn'],luàn
亄,['ý'],yì
亅,['quyết'],jué
亊,['sự'],shì
事,['sự'],shì
二,['nhị'],èr
云,['vân'],yún
互,['hỗ'],hù
五,['ngũ'],wǔ
亙,['cắng'],gèn
亝,['tề'],qí
亠,['đầu'],tóu
交,['giao'],jiāo
亦,['diệc'],yì
享,['hưởng'],xiǎng
亭,['đình'],tíng
亯,['hanh'],xiǎng
亱,['dạ'],yè
亳,['bạc'],bó
亼,['tập'],jí
亾,['vong'],wáng
仂,['lặc'],lè
仄,['trắc'],zè
仉,['chưởng'],zhǎng
今,['kim'],jīn
介,['giới'],jiè
仌,['băng'],bīng
仍,['nhưng'],réng
仏,['phật'],fó
仕,['sĩ'],shì
仗,['trượng'],zhàng
仙,['tiên'],xiān
仝,['đồng'],tóng
仞,['nhận'],rèn
仟,['thiên'],qiān
仡,['ngật'],gē
代,['đại'],dài
以,['dĩ'],yǐ
仨,['ta'],sā
仫,['mu'],mù
仲,['trọng'],zhòng
仵,['ngỗ'],wǔ
件,['kiện'],jiàn
伀,['chung'],zhōng
企,['xí'],qǐ
伄,['điếu'],diào
伇,['dịch'],yì
伈,['tẩm'],xǐn
伉,['kháng'],kàng
伊,['y'],yī
伋,['cấp'],jí
伍,['ngũ'],wǔ
伐,['phạt'],fá
伕,['phu'],fū
估,['cổ'],gū
伲,['nễ'],nì
伶,['linh'],líng
伸,['thân'],shēn
伻,['bình'],bēng
伾,['phi'],pī
佀,['tự'],sì
佃,['điền'],diàn
佇,['trữ'],zhù
佈,['bố'],bù
佉,['khư'],qū
佌,['thử'],cǐ
位,['vị'],wèi
低,['đê'],dī
佐,['tá'],zuǒ
何,['hà'],hé
佘,['xà'],shé
佝,['câu'],gōu
佞,['nịnh'],nìng
佤,['ngoã'],wǎ
佧,['kha'],kǎ
佩,['bội'],pèi
佪,['hồi'],huí
佬,['lão'],lǎo
佯,['dương'],yáng
佳,['giai'],jiā
併,['tính'],bìng
佶,['cát'],jí
佸,['quát'],huó
佹,['quỷ'],guǐ
佽,['thứ'],cì
佾,['dật'],yì
侀,['hinh'],xíng
侂,['thác'],tuō
侃,['khản'],kǎn
侅,['cai'],gāi
侇,['di'],yí
侈,['xỉ'],chǐ
侉,['khoa'],kuǎ
例,['lệ'],lì
侌,['âm'],yīn
侍,['thị'],shì
侑,['hựu'],yòu
侔,['mâu'],móu
侘,['sá'],chà
侚,['tuẫn'],xùn
価,['giá'],sì
侶,['lữ'],lǚ
侷,['cục'],jú
便,['tiện'],biàn
係,['hệ'],xì
促,['xúc'],cù
俄,['nga'],é
俉,['ngộ'],wǔ
俊,['tuấn'],jùn
俎,['trở'],zǔ
俓,['kính'],jìng
俗,['tục'],sú
俘,['phu'],fú
保,['bảo'],bǎo
俟,['sĩ'],qí
俠,['hiệp'],xiá
修,['tu'],xiū
俯,['phủ'],fǔ
俱,['câu'],jù
俵,['biểu'],biào
俷,['phị'],fèi
俸,['bổng'],fèng
俺,['yêm'],ǎn
俻,['bị'],bèi
倀,['trành'],chāng
倂,['tính'],bìng
倆,['lưỡng'],liǎ
個,['cá'],gè
倌,['quan'],guān
倍,['bội'],bèi
倏,['thúc'],shū
倐,['thúc'],shū
們,['môn'],men
倔,['quật'],jué
倖,['hãnh'],xìng
倘,['thảng'],tǎng
候,['hậu'],hòu
倜,['thích'],tì
倝,['cán'],gàn
借,['tá'],jiè
倢,['tiệp'],jié
倥,['không'],kōng
倦,['quyện'],juàn
倨,['cứ'],jù
倪,['nghê'],ní
倫,['luân'],lún
倬,['trác'],zhuō
倶,['câu'],jù
倸,['thải'],cǎi
倹,['kiệm'],jiǎn
值,['trị'],zhí
倽,['xá'],shà
偃,['yển'],yǎn
偉,['vĩ'],wěi
偎,['ôi'],wēi
偏,['thiên'],piān
偕,['giai'],xié
偘,['khản'],kǎn
做,['tố'],zuò
停,['đình'],tíng
偝,['bội'],bèi
偟,['hoàng'],huáng
健,['kiện'],jiàn
偨,['sai'],cī
偩,['phụ'],fù
偫,['trĩ'],zhì
偰,['tiết'],xiè
側,['trắc'],cè
偵,['trinh'],zhēn
偶,['ngẫu'],ǒu
偽,['nguỵ'],wěi
傈,['lật'],lì
傎,['điên'],diān
傑,['kiệt'],jié
傓,['phiến'],shàn
傔,['khiểm'],qiàn
備,['bị'],bèi
傚,['hiệu'],xiào
傜,['dao'],yáo
傢,['gia'],jiā
傣,['thái'],dǎi
催,['thôi'],cuī
傮,['tao'],zāo
傯,['tổng'],zǒng
傲,['ngạo'],ào
傴,['ủ'],yǔ
債,['trái'],zhài
傷,['thương'],shāng
傺,['sế'],chì
傾,['khuynh'],qīng
僃,['bị'],bèi
僇,['lục'],lù
僉,['thiêm'],qiān
僊,['tiên'],xiān
働,['động'],dòng
僑,['kiều'],qiáo
僔,['tổn'],zǔn
僕,['bộc'],pú
僚,['liêu'],liáo
僞,['nguỵ'],wěi
僦,['tựu'],jiù
僧,['tăng'],sēng
僨,['phẫn'],fèn
僬,['tiêu'],jiāo
僭,['tiếm'],jiàn
僰,['bặc'],bó
僱,['cố'],gù
僳,['túc'],sù
僴,['giản'],xiàn
僾,['ái'],ài
僿,['tái'],sài
儀,['nghi'],yí
儁,['tuấn'],jùn
億,['ức'],yì
儆,['cảnh'],jǐng
儇,['huyên'],xuān
儉,['kiệm'],jiǎn
儊,['sứ'],chù
儌,['kiêu'],jiǎo
儕,['sài'],chái
儗,['nghĩ'],nǐ
儜,['ninh'],níng
償,['thường'],cháng
儡,['lỗi'],lěi
儤,['bạo'],bào
儩,['tứ'],sì
優,['ưu'],yōu
儵,['thúc'],shū
儷,['lệ'],lì
儸,['la'],luó
儹,['toản'],zǎn
儺,['na'],nuó
儻,['thảng'],tǎng
儼,['nghiễm'],yǎn
儽,['luy'],léi
元,['nguyên'],yuán
充,['sung'],chōng
兆,['triệu'],zhào
兇,['hung'],xiōng
光,['quang'],guāng
克,['khắc'],kè
児,['nhi'],ér
兕,['huỷ'],sì
兙,['thập khắc'],*
兛,['thiên khắc'],qiān
兜,['đâu'],dōu
兟,['sân'],shēn
兢,['căng'],jīng
入,['nhập'],rù
全,['toàn'],quán
兪,['du'],yú
八,['bát'],bā
公,['công'],gōng
六,['lục'],liù
兲,['thiên'],tiān
兵,['binh'],bīng
具,['cụ'],jù
典,['điển'],diǎn
兼,['kiêm'],jiān
冂,['quynh'],jiōng
冃,['mạo'],mào
冄,['nhiễm'],rǎn
円,['viên'],yuán
冇,['mão'],mǎo
冉,['nhiễm'],rǎn
冊,['sách'],cè
冋,['quynh'],jiōng
再,['tái'],zài
冏,['quýnh'],jiǒng
冐,['mạo'],mào
冑,['trụ'],zhòu
冓,['cấu'],gòu
冔,['hu'],xǔ
冕,['miện'],miǎn
冖,['mịch'],mì
冗,['nhũng'],rǒng
冘,['dâm'],yín
冞,['my'],mí
冡,['mông'],méng
冣,['tối'],jù
冤,['oan'],yuān
冥,['minh'],míng
冫,['băng'],bīng
冬,['đông'],dōng
冶,['dã'],yě
冷,['lạnh'],lěng
冽,['liệt'],liè
凄,['thê'],qī
凈,['tịnh'],jìng
凋,['điêu'],diāo
凌,['lăng'],líng
凓,['lật'],lì
凜,['lẫm'],lǐn
凝,['ngưng'],níng
凟,['độc'],dú
凢,['phàm'],fán
凥,['cư'],jū
凰,['hoàng'],huáng
凱,['khải'],kǎi
凳,['đắng'],dèng
凴,['bằng'],píng
凵,['khảm'],qiǎn
凶,['hung'],xiōng
凸,['đột'],tū
凹,['ao'],āo
凼,['đãng'],dàng
函,['hàm'],hán
刀,['đao'],dāo
刁,['điêu'],diāo
刂,['đao'],dāo
刈,['ngải'],yì
刌,['thiển'],cǔn
刎,['vẫn'],wěn
刑,['hình'],xíng
刓,['ngoan'],wán
列,['liệt'],liè
刜,['phất'],fú
初,['sơ'],chū
判,['phán'],pàn
別,['biệt'],bié
刦,['kiếp'],jié
刧,['kiếp'],jié
刨,['bào'],páo
利,['lợi'],lì
刪,['san'],shān
刮,['quát'],guā
到,['đáo'],dào
刲,['khuê'],kuī
刳,['khô'],kū
刴,['đoá'],duò
制,['chế'],zhì
券,['khoán'],quàn
刼,['kiếp'],jié
剁,['đoá'],duò
剃,['thế'],tì
剅,['lâu'],lóu
則,['tắc'],zé
剉,['toả'],cuò
剋,['khắc'],kè
剌,['lạt'],lá
剒,['thố'],cuò
剖,['phẫu'],pōu
剜,['oan'],wān
剟,['xuyết'],duō
剡,['diệm'],shàn
剣,['kiếm'],jiàn
剤,['tễ'],jì
剩,['thặng'],shèng
剪,['tiễn'],jiǎn
剮,['quả'],guǎ
割,['cắt'],gē
剳,['tráp'],dá
剷,['sản'],chǎn
剹,['lục'],lù
剿,['tiễu'],jiǎo
劂,['quyết'],jué
劃,['hoạch'],huà
劇,['kịch'],jù
劈,['phách'],pī
劉,['lưu'],liú
劌,['quế'],guì
劍,['kiếm'],jiàn
劐,['hoát'],huō
劒,['kiếm'],jiàn
劙,['ly'],lí
力,['lực'],lì
功,['công'],gōng
加,['gia'],jiā
劣,['liệt'],liè
劦,['hiệp'],xié
助,['trợ'],zhù
努,['nỗ'],nǔ
劫,['kiếp'],jié
劬,['cù'],qú
劭,['thiệu'],shào
労,['lao'],láo
劵,['quyển'],juàn
効,['hiệu'],xiào
劻,['khuông'],kuāng
劼,['cật'],jié
劾,['hặc'],hé
勃,['bột'],bó
勅,['sắc'],chì
勇,['dũng'],yǒng
勍,['kình'],qíng
勐,['mãnh'],měng
勒,['lặc'],lēi
動,['động'],dòng
勘,['khám'],kān
勛,['huân'],xūn
募,['mộ'],mù
勠,['lục'],lù
勢,['thế'],shì
勣,['tích'],jī
勤,['cần'],qín
勦,['tiễu'],chāo
勧,['cần'],quàn
勩,['duệ'],yì
勰,['hiệp'],xié
勱,['mại'],mài
勲,['huân'],xūn
勳,['huân'],xūn
勵,['lệ'],lì
勷,['nhương'],ráng
勸,['khuyến'],quàn
勹,['bao'],bāo
勻,['quân'],yún
勿,['vật'],wù
匃,['cái'],gài
匄,['cái'],gài
包,['bao'],bāo
匆,['thông'],cōng
匈,['hung'],xiōng
匉,['phanh'],pēng
匊,['cúc'],jū
匋,['đào'],táo
匍,['bồ'],pú
匐,['bặc'],fú
匑,['cung'],gōng
匙,['thi'],shi
匚,['phương'],fāng
匟,['kháng'],kàng
匠,['tượng'],jiàng
匡,['khuông'],kuāng
匣,['hạp'],xiá
匧,['kiếp'],qiè
匪,['phỉ'],fěi
匭,['quỹ'],guǐ
匱,['quỹ'],guì
匳,['liêm'],lián
匴,['toán'],suǎn
匵,['độc'],dú
匽,['yển'],yǎn
匿,['nặc'],nì
十,['thập'],shí
卂,['tín'],xùn
千,['thiên'],qiān
升,['thăng'],shēng
午,['ngọ'],wǔ
卉,['huỷ'],huì
半,['bán'],bàn
卋,['thế'],shì
卌,['tấp'],xì
卍,['vạn'],wàn
卐,['vạn'],wàn
卓,['trác'],zhuó
協,['hiệp'],xié
博,['bác'],bó
卞,['biện'],biàn
卟,['kê'],bǔ
卣,['dữu'],yǒu
卦,['quái'],guà
卨,['tiết'],xiè
卩,['tiết'],jié
卬,['ngang'],áng
卮,['chi'],zhī
印,['ấn'],yìn
即,['tức'],jí
卸,['tá'],xiè
卹,['tuất'],xù
卻,['khước'],què
卽,['tức'],jí
卿,['khanh'],qīng
厀,['tất'],xī
厓,['nhai'],yá
厔,['chất'],zhì
厙,['xá'],shè
厚,['hậu'],hòu
厜,['tuy'],zuī
厞,['phi'],fèi
厤,['lịch'],lì
厥,['quyết'],jué
厮,['tư'],sī
厰,['xưởng'],chǎng
厳,['nghiêm'],yán
厴,['áp'],yǎn
厺,['khứ'],qù
厾,['đâu'],dū
叁,['tam'],sān
叉,['xoa'],chā
及,['cập'],jí
友,['hữu'],yǒu
収,['thâu'],shōu
叒,['nhược'],ruò
叔,['thúc'],shū
叕,['chuyết'],zhuó
叡,['duệ'],ruì
叢,['tùng'],cóng
口,['khẩu'],kǒu
古,['cổ'],gǔ
另,['lánh'],lìng
叩,['khấu'],kòu
叫,['khiếu'],jiào
叭,['bá'],bā
叮,['đinh'],dīng
叱,['sất'],chì
史,['sử'],shǐ
右,['hữu'],yòu
叵,['phả'],pǒ
叻,['lặc'],lè
叼,['điêu'],diāo
各,['các'],gè
吆,['yêu'],yāo
吉,['cát'],jí
吊,['điếu'],diào
同,['đồng'],tóng
名,['danh'],míng
吏,['lại'],lì
吐,['thổ'],tǔ
吚,['y'],yī
君,['quân'],jūn
吝,['lận'],lìn
吞,['thôn'],tūn
吟,['ngâm'],yín
吠,['phệ'],fèi
吥,['bất'],bù
吧,['ba'],ba
吩,['phân'],fēn
吪,['ngoa'],é
吮,['duyện'],shǔn
吰,['hoành'],hóng
吲,['sẩn'],yǐn
吳,['ngô'],wú
吸,['hấp'],xī
吻,['vẫn'],wěn
吼,['hống'],hǒu
吾,['ngô'],wú
呃,['ách'],è
呈,['trình'],chéng
呉,['ngô'],wú
呋,['phu'],fū
呎,['xích'],chǐ
呏,['thăng'],shēng
呑,['thôn'],tūn
呝,['ách'],è
呣,['mô'],ḿ
呤,['linh'],lìng
呦,['u'],yōu
呧,['để'],dǐ
呪,['chú'],zhòu
呰,['tử'],zǐ
呲,['thử'],cī
味,['vị'],wèi
呶,['nao'],náo
呷,['hạp'],gā
命,['mệnh'],mìng
呿,['khư'],qù
咂,['táp'],zā
咆,['bào'],páo
咊,['hoà'],hé
咑,['đát'],dā
咒,['chú'],zhòu
咔,['ca'],kā
咕,['cô'],gū
咚,['đông'],dōng
咠,['thấp'],qì
咡,['nhị'],èr
咢,['ngạc'],è
咣,['quang'],guāng
咦,['di'],yí
咨,['tư'],zī
咩,['mị'],miē
咫,['chỉ'],zhǐ
咲,['tiếu'],xiào
咷,['đào'],táo
咿,['y'],yī
哀,['ai'],āi
品,['phẩm'],pǐn
哂,['sẩn'],shěn
哄,['hống'],hǒng
哇,['oa'],wa
哉,['tai'],zāi
哏,['ngận'],gén
哞,['mâu'],mōu
哢,['lộng'],lòng
哤,['mang'],máng
哥,['ca'],gē
哦,['nga'],ó
哫,['túc'],zú
哭,['khóc'],kū
哮,['hao'],xiāo
哰,['lao'],láo
哲,['triết'],zhé
哳,['triết'],zhā
哶,['mã'],miē
哼,['hanh'],hēng
哽,['ngạnh'],gěng
唆,['toa'],suō
唈,['ấp'],yì
唉,['ai'],āi
唎,['lợi'],lì
唐,['đường'],táng
唕,['tạo'],zào
唣,['tạo'],zào
唧,['tức'],jī
唪,['phủng'],fěng
售,['thụ'],shòu
唱,['xướng'],chàng
唳,['lệ'],lì
唷,['dục'],yō
唾,['thoá'],tuò
唿,['hốt'],hū
啃,['khẳng'],kěn
啅,['trác'],zhuó
商,['thương'],shāng
問,['vấn'],wèn
啕,['đào'],táo
啖,['đạm'],dàn
啗,['đạm'],dàn
啜,['xuyết'],chuài
啣,['hàm'],xián
啥,['xá'],shá
啦,['lạp'],la
啪,['ba'],pā
啵,['ba'],bō
啶,['đính'],dìng
啷,['lang'],lāng
啼,['đề'],tí
啽,['ngàm'],án
喃,['nam'],nán
喇,['lạt'],lǎ
喉,['hầu'],hóu
喋,['điệp'],dié
喌,['châu'],zhōu
喓,['yêu'],yāo
喘,['suyễn'],chuǎn
喚,['hoán'],huàn
喟,['vị'],kuì
喣,['hú'],xǔ
喤,['hoàng'],huáng
喥,['đạc'],duó
喦,['nham'],niè
喧,['huyên'],xuān
喨,['lượng'],liàng
喩,['dụ'],yù
喫,['khiết'],chī
喭,['ngạn'],yàn
喱,['ly'],lí
喳,['tra'],zhā
喵,['miêu'],miāo
喹,['khuê'],kuí
喿,['táo'],zào
嗀,['hác'],hù
嗁,['đề'],tí
嗅,['khứu'],xiù
嗇,['sắc'],sè
嗉,['tố'],sù
嗊,['cống'],hǒng
嗍,['thoa'],suō
嗑,['hạp'],kē
嗓,['tảng'],sǎng
嗖,['sưu'],sōu
嗚,['ô'],wū
嗜,['thị'],shì
嗝,['cách'],gé
嗟,['ta'],jiē
嗣,['tự'],sì
嗥,['hào'],háo
嗨,['hải'],hāi
嗩,['toả'],suǒ
嗯,['ân'],ń
嗶,['tất'],bì
嗹,['liên'],lián
嗿,['thám'],tǎn
嘂,['khiếu'],jiào
嘅,['khái'],kǎi
嘆,['thán'],tàn
嘈,['tào'],cáo
嘉,['gia'],jiā
嘌,['phiêu'],piào
嘍,['lâu'],lóu
嘏,['hỗ'],gǔ
嘓,['quắc'],guō
嘗,['thường'],cháng
嘛,['ma'],ma
嘞,['lặc'],lei
嘟,['đô'],dū
嘠,['dát'],gā
嘡,['thang'],tāng
嘣,['băng'],bēng
嘦,['khiếu'],jiào
嘧,['mật'],mì
嘩,['hoa'],huā
嘫,['nhiên'],rán
嘲,['trào'],cháo
嘴,['chuỷ'],zuǐ
嘵,['hiêu'],xiāo
嘷,['hào'],háo
嘹,['liệu'],liáo
噌,['tăng'],cēng
噎,['ế'],yē
噏,['hấp'],xī
噓,['hư'],xū
噔,['đăng'],dēng
噘,['quyết'],juē
噙,['cầm'],qín
噚,['tầm'],xún
噛,['giảo'],niè
噞,['nghiệm'],yǎn
噠,['đát'],dā
噤,['cấm'],jìn
噥,['nông'],nóng
器,['khí'],qì
噩,['ngạc'],è
噪,['táo'],zào
噬,['phệ'],shì
噱,['cược'],jué
噳,['ngu'],yǔ
噶,['cát'],gá
噷,['hâm'],hm
噸,['đốn'],dūn
嚀,['ninh'],níng
嚃,['tháp'],tā
嚅,['nhu'],rú
嚆,['hao'],hāo
嚇,['hách'],xià
嚎,['hào'],háo
嚐,['thường'],cháng
嚓,['sát'],cā
嚗,['bác'],bó
嚚,['ngân'],yín
嚞,['triết'],zhé
嚦,['lịch'],lì
嚨,['lung'],lóng
嚬,['tần'],pín
嚲,['đả'],duǒ
嚳,['khốc'],kù
嚴,['nghiêm'],yán
嚵,['sàm'],chán
嚶,['anh'],yīng
嚼,['tước'],jué
囀,['chuyển'],zhuàn
囂,['hiêu'],xiāo
囈,['nghệ'],yì
囉,['la'],luō
囊,['nang'],náng
囌,['tô'],sū
囑,['chúc'],zhǔ
囔,['nang'],nāng
囙,['nhân'],yīn
囚,['tù'],qiú
四,['tứ'],sì
囟,['tín'],xìn
因,['nhân'],yīn
団,['đoàn'],tuán
囦,['uyên'],yuān
囧,['quýnh'],jiǒng
囫,['hốt'],hú
囬,['hồi'],huí
囮,['ngoa'],é
囯,['quốc'],guó
困,['khốn'],kùn
囲,['vy'],tōng
図,['đồ'],tú
囶,['quốc'],guó
囷,['khuân'],qūn
囹,['linh'],líng
固,['cố'],gù
囻,['quốc'],guó
圀,['quốc'],guó
圃,['phố'],pǔ
圄,['ngữ'],yǔ
圅,['hàm'],hán
圇,['luân'],lún
圊,['thanh'],qīng
國,['quốc'],guó
園,['viên'],yuán
圓,['viên'],yuán
圖,['đồ'],tú
團,['đoàn'],tuán
圛,['dịch'],yì
在,['tại'],zài
圩,['vu'],wéi
圪,['khất'],gē
圬,['ô'],wū
圭,['khuê'],guī
圮,['bĩ'],pǐ
圯,['di'],yí
地,['địa'],dì
圳,['quyến'],zhèn
址,['chỉ'],zhǐ
坋,['phấn'],bèn
坍,['than'],tān
坎,['khảm'],kǎn
坐,['toạ'],zuò
坑,['khanh'],kēng
坒,['bệ'],bì
坕,['kinh'],jīng
坤,['khôn'],kūn
坦,['thản'],tǎn
坨,['đà'],tuó
坩,['kham'],gān
坪,['bình'],píng
坫,['điếm'],diàn
坭,['nê'],ní
坰,['quynh'],jiōng
坲,['phật'],fó
坳,['ao'],ào
坴,['lục'],lù
坼,['sách'],chè
坿,['phụ'],fù
垂,['thuỳ'],chuí
型,['hình'],xíng
垕,['hậu'],hòu
垖,['đôi'],duī
垗,['triệu'],zhào
垚,['nghiêu'],yáo
垛,['đoá'],duǒ
垜,['đoá'],duǒ
垞,['xá'],chá
垢,['cấu'],gòu
垣,['viên'],yuán
垤,['điệt'],dié
垯,['đáp'],da
垵,['am'],ǎn
垾,['hạn'],hàn
埂,['canh'],gěng
埃,['ai'],āi
埆,['xác'],què
埌,['lãng'],làng
埒,['liệt'],liè
埕,['trình'],chéng
埜,['dã'],yě
埝,['niệm'],niàn
域,['vực'],yù
埠,['phụ'],bù
埧,['cụ'],jù
埭,['đại'],dài
埯,['am'],ǎn
埳,['khảm'],kǎn
埴,['thực'],zhí
執,['chấp'],zhí
埸,['dịch'],yì
基,['cơ'],jī
埼,['kỳ'],qí
埽,['tảo'],sào
堀,['quật'],kū
堃,['khôn'],kūn
堅,['kiên'],jiān
堇,['cận'],jǐn
堉,['dục'],yù
堊,['ác'],è
堋,['bằng'],péng
堎,['lăng'],lèng
堘,['thăng'],chéng
堙,['nhân'],yīn
堞,['điệp'],dié
堠,['hậu'],hòu
堡,['bảo'],bǎo
堦,['giai'],jiē
堧,['nhuyên'],ruán
堪,['kham'],kān
堭,['hoàng'],huáng
堮,['ngạc'],è
堯,['nghiêu'],yáo
堰,['yển'],yàn
報,['báo'],bào
堲,['tức'],cí
堳,['thi'],méi
堵,['đổ'],dǔ
堽,['cương'],gāng
塃,['hoang'],huāng
塄,['lăng'],léng
塊,['khối'],kuài
塌,['tháp'],tā
塏,['khải'],kǎi
塑,['tố'],sù
塒,['thì'],shí
塓,['mịch'],mì
塕,['ổng'],wěng
塘,['đường'],táng
塠,['đôi'],duī
塢,['ổ'],wù
塤,['huân'],xūn
塥,['cách'],gé
塩,['diêm'],yán
塵,['trần'],chén
塼,['chuyên'],zhuān
塽,['sảng'],shuǎng
塾,['thục'],shú
墀,['trì'],chí
墁,['mạn'],màn
境,['cảnh'],jìng
墈,['khám'],kàn
墐,['cận'],jìn
墓,['mộ'],mù
増,['tăng'],zēng
墜,['truỵ'],zhuì
增,['tăng'],zēng
墠,['thiện'],shàn
墦,['phiền'],fán
墨,['mặc'],mò
墩,['đôn'],dūn
墫,['tôn'],zūn
墬,['địa'],dì
墰,['đàm'],tán
墻,['tường'],qiáng
墼,['kích'],jī
墾,['khẩn'],kěn
壁,['bích'],bì
壄,['dã'],yě
壇,['đàn'],tán
壈,['lẫm'],lǎn
壎,['huân'],xūn
壑,['hác'],hè
壒,['ái'],ài
壔,['đảo'],dǎo
壕,['hào'],háo
壖,['nhuyên'],ruán
壙,['khoáng'],kuàng
壜,['đàm'],tán
壝,['duy'],wěi
壟,['lũng'],lǒng
壠,['lũng'],lǒng
壢,['lịch'],lì
壤,['nhưỡng'],rǎng
壩,['bá'],bà
士,['sĩ'],shì
壱,['nhất'],yī
壴,['trú'],zhù
壹,['nhất'],yī
壺,['hồ'],hú
壻,['tế'],xù
壽,['thọ'],shòu
壿,['chung'],zūn
夀,['thọ'],shòu
夅,['hàng'],jiàng
夌,['lăng'],líng
夔,['quỳ'],kuí
夕,['tịch'],xī
外,['ngoại'],wài
夗,['uyển'],yuàn
夙,['túc'],sù
多,['đa'],duō
夣,['mộng'],mèng
天,['thiên'],tiān
太,['thái'],tài
央,['ương'],yāng
失,['thất'],shī
夷,['di'],yí
夾,['giáp'],jiā
奈,['nại'],nài
奎,['khuê'],kuí
奐,['hoán'],huàn
奕,['dịch'],yì
套,['sáo'],tào
奚,['hề'],xī
奠,['điện'],diàn
奡,['ngạo'],ào
奢,['xa'],shē
奨,['tưởng'],jiǎng
奩,['liêm'],lián
奪,['đoạt'],duó
奬,['tưởng'],jiǎng
奭,['thích'],shì
奮,['phấn'],fèn
奴,['nô'],nú
奶,['nãi'],nǎi
妁,['chước'],shuò
如,['như'],rú
妉,['đam'],dān
妍,['nghiên'],yán
妒,['đố'],dù
妖,['yêu'],yāo
妗,['cấm'],jìn
妘,['vân'],yún
妙,['diệu'],miào
妝,['trang'],zhuāng
妞,['nữu'],niū
妤,['dư'],yú
妥,['thoả'],tuǒ
妬,['đố'],dù
妮,['ni'],nī
妸,['a'],ē
妹,['muội'],mèi
妾,['thiếp'],qiè
姅,['bán'],bàn
姉,['tỷ'],zǐ
姑,['cô'],gū
姓,['tính'],xìng
姘,['phanh'],pīn
姙,['nhâm'],rèn
姜,['khương'],jiāng
姞,['cật'],jí
姤,['cấu'],gòu
姦,['gian'],jiān
姧,['gian'],jiān
姨,['di'],yí
姪,['điệt'],zhí
姫,['cơ'],jī
姬,['cơ'],jī
姮,['hằng'],héng
姱,['khoa'],kuā
姸,['nghiên'],yán
姻,['nhân'],yīn
姽,['quỷ'],guǐ
姿,['tư'],zī
娃,['oa'],wá
娑,['sa'],suō
娒,['mỗ'],méi
娘,['nương'],niáng
娛,['ngu'],yú
娟,['quyên'],juān
娠,['thần'],shēn
娥,['nga'],é
娯,['ngu'],yú
娶,['thú'],qǔ
娼,['xướng'],chāng
婆,['bà'],pó
婉,['uyển'],wǎn
婊,['biểu'],biǎo
婕,['tiệp'],jié
婚,['hôn'],hūn
婣,['nhân'],yīn
婤,['chu'],chōu
婦,['phụ'],fù
婧,['tinh'],jìng
婪,['lam'],lán
婬,['dâm'],yín
婭,['á'],yà
婷,['đình'],tíng
婹,['yêu'],yǎo
婺,['vụ'],wù
婿,['tế'],xù
媄,['mỹ'],měi
媅,['đam'],dān
媍,['phụ'],fù
媒,['môi'],méi
媖,['anh'],yīng
媚,['mị'],mèi
媞,['thị'],shì
媢,['mạo'],mào
媧,['oa'],wā
媯,['quy'],guī
媰,['trâu'],chú
媳,['tức'],xí
媻,['bàn'],pán
媼,['ảo'],ǎo
媾,['cấu'],gòu
媿,['quý'],kuì
嫁,['giá'],jià
嫂,['tẩu'],sǎo
嫄,['nguyên'],yuán
嫈,['oanh'],yīng
嫉,['tật'],jí
嫌,['hiềm'],xián
嫏,['lang'],láng
嫕,['ế'],yì
嫘,['luy'],léi
嫜,['chương'],zhāng
嫡,['đích'],dí
嫣,['yên'],yān
嫦,['thường'],cháng
