char,hanviet,pinyin
喔,"['ô', 'ốc']",o1
喔,"['ô', 'ốc']",wo5
喝,['húp'],he1
喝,['hét'],he4
喪,['tang'],sang1
喪,['táng'],sang4
單,"['thiện', 'thiền']",shan4
單,"['đơn', 'đan']",dan1
喲,['ôi'],yo1
喲,['dô'],yo5
嗄,['a'],a2
嗄,"['khàn', 'sá']",sha4
嗆,"['sặc', 'sang']",qiang1
嗆,"['sặc', 'sang']",qiang4
嗌,"['ách', 'ải']",ai4
嗌,"['ách', 'ải']",yi4
嗎,['ma'],ma2
嗎,['ma'],ma3
嗎,['ma'],ma5
嗒,['đáp'],da1
嗒,"['thẫn', 'tháp']",ta4
嘬,['toát'],chuai4
嘬,['toát'],zuo1
嘮,['lao'],lao2
嘮,['lao'],lao4
嘸,['phủ'],fu3
嘸,['mô'],m2
嘽,['xiển'],chan3
嘽,['than'],tan1
噦,['hối'],hui4
噦,"['oẹ', 'uế', 'uyết']",yue3
噯,['ải'],ai3
噯,['ái'],ai4
噲,['khoái'],kuai4
噲,['hồi'],wei4
噴,['phun'],pen1
噴,['phún'],pen4
嚄,['hoát'],huo4
嚄,['ô'],o3
囝,"['kiển', 'cưỡng', 'tể', 'nga', 'niên', 'niếp']",jian3
囝,['nam'],nan1
囤,['độn'],dun4
囤,"['tồn', 'đồn']",tun2
囪,['song'],chuang1
囪,['thông'],cong1
圈,['khuyên'],juan1
圈,['quyển'],juan4
圈,['khuyên'],quan1
圜,['hoàn'],huan2
圜,['viên'],yuan2
圣,['khốt'],ku1
圣,['thánh'],sheng4
坊,"['phường', 'phòng']",fang1
坊,"['phường', 'phòng']",fang2
坻,['trì'],chi2
坻,['để'],di3
埄,['bổng'],beng3
埄,['phong'],feng1
埋,['mai'],mai2
埋,['man'],man2
埏,['thiên'],shan1
埏,"['duyên', 'diên']",yan2
埔,['bộ'],bu4
埔,['phố'],pu3
場,"['tràng', 'trường']",chang2
場,['trường'],chang3
塞,['tắc'],sai1
塞,['tái'],sai4
塞,['tắc'],se4
塲,"['tràng', 'trường']",chang2
塲,['trường'],chang3
壓,['áp'],ya1
壓,['áp'],ya4
大,['đại'],da4
大,['đại'],dai4
夫,['phu'],fu1
夫,['phù'],fu2
夯,['bổn'],ben4
夯,"['hãng', 'kháng']",hang1
奄,['yểm'],yan3
奄,['yêm'],yan1
奇,['cơ'],ji1
奇,['kỳ'],qi2
奓,['xỉ'],chi3
奓,['xa'],she1
奓,['tra'],zha4
奔,['bôn'],ben1
奔,['bôn'],ben4
奘,['trang'],zang4
奘,['trang'],zhuang3
女,['nữ'],nu:3
女,['nhữ'],ru3
好,['hảo'],hao3
好,['hiếu'],hao4
妳,['nhĩ'],ni3
妳,"['nãi', 'nễ']",nai3
妻,['thê'],qi1
妻,['thế'],qi4
委,['uỷ'],wei3
委,['uy'],wei1
